ID,Active (0/1),Name,Reference,Price tax excluded,Image URL,Attribute 1 group,Attribute 1 value,Attribute 1 reference
10002,1,JALALTA ESD S3 CI HI SRC,JYJY495-44,134.8,https://www.jallatte.fr/stock/new/img/JYJY495.jpg,Taille,44,JYJY495-44
10002,1,JALALTA ESD S3 CI HI SRC,JYJY495-45,134.8,https://www.jallatte.fr/stock/new/img/JYJY495.jpg,Taille,45,JYJY495-45
10002,1,JALALTA ESD S3 CI HI SRC,JYJY495-46,134.8,https://www.jallatte.fr/stock/new/img/JYJY495.jpg,Taille,46,JYJY495-46
10002,1,JALALTA ESD S3 CI HI SRC,JYJY495-47,134.8,https://www.jallatte.fr/stock/new/img/JYJY495.jpg,Taille,47,JYJY495-47
10002,1,JALALTA ESD S3 CI HI SRC,JYJY495-48,134.8,https://www.jallatte.fr/stock/new/img/JYJY495.jpg,Taille,48,JYJY495-48
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-38,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,38,JYJY497-38
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-39,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,39,JYJY497-39
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-40,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,40,JYJY497-40
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-41,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,41,JYJY497-41
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-42,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,42,JYJY497-42
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-43,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,43,JYJY497-43
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-44,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,44,JYJY497-44
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-45,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,45,JYJY497-45
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-46,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,46,JYJY497-46
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-47,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,47,JYJY497-47
10003,1,JALANGO ESD S3 CI HI SRC,JYJY497-48,165.4,https://www.jallatte.fr/stock/new/img/JYJY497.jpg,Taille,48,JYJY497-48
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-35,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,35,JXJX902-35
10004,1,JALARTEMIS SAS S1P HRO SRC,JXJX902-36,122.0,https://www.jallatte.fr/stock/new/img/JXJX902.jpg,Taille,36,JXJX902-36
